State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,805355,110090,146014,603860,82546,582908,105683,332524,45.5,318106,57.7,283908,38.8,277287,50.3,398775,348580,58000,0,19701,265227,318839,93,121989,143572,18319,28,121691,137328,18240,28,265589,45.5,318106,57.7,36.3,259047,47,332524,72987,79.7,68339,74.6,38954,27360,2010,15,137538,150170,879324,331961,54.5,283902,46.6,121987,143570,18317,28,603299,99084,132269
Alabama,4501400,91806,117996,3002607,61238,2974391,77968,1757607,35.8,1737523,45.5,1419599,29,1410884,37,2204280,2025720,271400,0,97486,1447968,1457153,0,646334,673677,99504,84,646154,665187,99459,84,1320095,35.8,1737523,45.5,26.9,1311425,34.4,1757607,644762,75.9,552217,65,293145,230657,28362,53,1146949,134961,529678,1757315,42,1419582,33.9,646326,673671,99501,84,3002314,71708,107512
Arkansas,2744150,90932,118402,2041850,67660,2002261,86392,1174803,38.9,1146230,49.5,920647,30.5,909270,39.2,1349010,1219540,175600,0,65091,964836,1011400,523,426596,430357,63565,129,425973,419925,63247,125,857082,38.9,1146230,49.5,28.4,846023,36.5,1174803,396014,75.6,329433,62.9,190783,128341,10223,86,717617,136981,523811,1172781,45.9,920496,36,426592,430318,63457,129,2039762,79764,107309
American Samoa,54030,97021,124387,41907,75252,40401,93011,23161,41.6,22290,51.3,18902,33.9,18271,42.1,37830,15600,600,0,26,9959,31922,0,4293,14575,34,0,4281,13956,34,0,18868,41.6,22290,51.3,33.9,18237,42,23161,2532,26.7,2275,24,908,1360,7,0,4717,49826,570719,23160,48.7,18901,39.7,4292,14575,34,0,41905,88115,113611
Arizona,7702125,105817,136599,5856464,80460,5711284,101291,3313198,45.5,3210511,56.9,2567678,35.3,2529322,44.9,4087005,3200020,415100,0,183022,2562676,3106538,4228,1072615,1317497,176188,1378,1072373,1279494,176081,1374,2391490,45.5,3210511,56.9,32.9,2353241,41.7,3313198,1071790,81.9,895196,68.4,441115,419930,33305,846,2014473,153937,588563,3312871,53.4,2567608,41.4,1072602,1317474,176154,1378,5856047,94360,124107
Bureau of Prisons,188510,N/A,N/A,177423,N/A,177422,N/A,98788,N/A,98787,N/A,83526,N/A,83526,N/A,101790,76320,10400,0,5755,71176,100492,0,31143,46654,5729,0,31143,46654,5729,0,77797,N/A,98787,N/A,0,77797,0,98788,3227,0,2901,0,1403,1421,77,0,6087,0,0,98787,0,83526,0,31143,46654,5729,0,177422,0,0
California,46503430,117694,151885,37480670,94858,36215360,118283,22021826,55.7,21095472,68.9,16554884,41.9,16211671,52.9,24897210,19030420,2575800,0,1313019,15826023,20336890,4738,6707625,8543732,1302253,1274,6692106,8221271,1297048,1246,15252631,55.7,21095472,68.9,38.6,14914623,48.7,22021826,5269579,90.3,4163615,71.3,2147918,1878918,136233,546,9377481,160625,796549,21987750,65.3,16553945,49.2,6707258,8543412,1302002,1273,37445831,111293,138213
Colorado,6639120,115288,147562,5492992,95385,5310994,118043,3063061,53.2,2931888,65.2,2544297,44.2,2493299,55.4,3555240,2752280,331600,0,185269,2389387,2916843,1493,1077991,1283043,182830,433,1075553,1235270,182048,428,2361467,53.2,2931888,65.2,41,2311251,51.4,3063061,720618,85.5,645216,76.6,322018,306267,16744,187,1373157,163003,788108,3058007,62,2544254,51.5,1077980,1283028,182813,433,5487887,111179,134502
Connecticut,4474245,125495,157663,3945496,110664,3801899,133971,2216338,62.2,2112407,74.4,1855397,52,1818580,64.1,2428725,1800720,244800,0,151603,1564145,2229391,357,710343,993292,151672,90,710013,956940,151543,84,1703725,62.2,2112407,74.4,47.8,1667037,58.7,2216338,585913,93,539173,85.5,211923,311674,15551,25,1122540,178112,709923,2215194,71.3,1855006,59.7,710147,993164,151605,90,3943985,126982,144054
District of Columbia,1012995,143535,175386,770851,109225,762855,132078,396264,56.1,388754,67.3,316547,44.9,314719,54.5,556335,403160,53500,0,24239,305095,441305,212,120727,167713,27957,150,120696,165936,27939,148,288590,56.1,388754,67.3,40.9,286780,49.7,396264,71620,82,62211,71.2,35458,24833,1904,16,161697,185129,1159790,396203,65,316533,51.9,120723,167705,27955,150,770785,126409,166132
