,state_code,average_hesitant,average_strongly_hesitant,avg_svi,avg_vac_rollout,vac_percentage,vac_percentage_race_a,vac_percentage_race_b,vac_percentage_race_c,vac_percentage_race_d,vac_percentage_race_e,vac_percentage_race_f,total_cases,total_death
0,AK,0.23931034482758612,0.10827586206896553,0.5617241379310345,0.7444827586206896,0.3816071428571428,0.05314827586206895,0.3245827586206897,0.05388620689655173,0.01329310344827586,0.005324137931034482,0.47870344827586203,11637602.0,57692.0
1,AL,0.22567164179104499,0.10940298507462694,0.7034328358208954,0.7201492537313433,0.15462686567164177,0.03486417910447762,0.005749253731343283,0.007071641791044775,0.28735522388059714,0.0002686567164179105,0.6483761194029852,103384854.0,1885797.0
2,AR,0.2181333333333335,0.13186666666666674,0.7177333333333333,0.6447999999999998,0.1534533333333333,0.05256133333333335,0.005514666666666668,0.006661333333333335,0.1606586666666666,0.0011706666666666664,0.7518706666666667,63953022.0,1049337.0
3,AZ,0.19399999999999998,0.11800000000000004,0.8459999999999999,0.9013333333333333,0.27093333333333336,0.31337999999999994,0.13318,0.013266666666666666,0.018426666666666664,0.00118,0.5019933333333334,162855240.0,3269513.0
4,CA,0.12120689655172415,0.04793103448275862,0.633793103448276,0.6332758620689656,0.1972599999999999,0.3062241379310346,0.01774310344827586,0.0730655172413793,0.02984482758620691,0.002805172413793104,0.5374448275862069,681756582.0,10579234.0
5,CO,0.16453125,0.0640625,0.39593749999999994,0.34859375000000004,0.10328125000000005,0.20133593749999998,0.008910937499999999,0.01140625,0.014298437499999997,0.000884375,0.7434749999999999,87964759.0,1399757.0
6,CT,0.10375,0.04125,0.31625000000000003,0.03125,0.25162500000000004,0.120225,0.001725,0.037325,0.06543750000000001,0.00015000000000000001,0.751225,59173921.0,2216466.0
7,DC,0.1,0.04,0.6,0.17,0.155,0.11,0.002,0.0393,0.4544,0.0004,0.3658,,
8,DE,0.1366666666666667,0.043333333333333335,0.5033333333333333,0.19999999999999998,0.20033333333333334,0.08726666666666667,0.003533333333333333,0.028933333333333335,0.20486666666666667,0.0003666666666666666,0.6466333333333334,18090015.0,370300.0
9,FL,0.21970149253731353,0.09999999999999995,0.6595522388059701,0.7238805970149254,0.18562686567164183,0.14377761194029848,0.0038537313432835812,0.015804477611940294,0.14129253731343278,0.0006611940298507464,0.6738835820895525,420192988.0,7115051.0
10,GA,0.24641509433962264,0.10937106918238974,0.7082389937106918,0.7531446540880505,0.06998742138364776,0.06488805031446535,0.001884276729559749,0.012584276729559755,0.28244654088050314,0.000569182389937107,0.6204534591194967,208758603.0,3894223.0
11,HI,0.11000000000000001,0.048,0.414,0.32599999999999996,,0.09598,0.004739999999999999,0.28928000000000004,0.013440000000000002,0.13144,0.26232,6448752.0,90004.0
12,IA,0.19919191919191928,0.10484848484848472,0.23919191919191912,0.05949494949494946,0.2445454545454545,0.048373737373737354,0.003148484848484849,0.011306060606060604,0.015123232323232325,0.0008303030303030304,0.9081363636363643,72520122.0,1115130.0
13,ID,0.2561363636363636,0.12090909090909094,0.4475000000000001,0.3875,0.19984090909090907,0.1308,0.01622954545454546,0.006475000000000001,0.0035681818181818193,0.0011454545454545454,0.8235931818181815,35736351.0,379796.0
14,IL,0.17137254901960775,0.07676470588235297,0.3778431372549019,0.3880392156862743,0.2197549019607844,0.05027549019607842,0.001759803921568627,0.01234019607843137,0.0521313725490196,0.00021764705882352937,0.8674882352941178,257540193.0,5489520.0
15,IN,0.19163043478260852,0.08141304347826088,0.3641304347826087,0.616304347826087,0.2123152173913044,0.04073804347826087,0.0017793478260869564,0.011076086956521736,0.02735543478260869,0.0002076086956521739,0.9027086956521739,131933779.0,2754481.0
16,KS,0.19619047619047617,0.08180952380952383,0.320952380952381,0.4539047619047621,0.23809523809523817,0.10123428571428568,0.007073333333333336,0.008440952380952382,0.01843714285714286,0.0005323809523809525,0.8418857142857143,58289732.0,839865.0
17,KY,0.2053333333333334,0.09424999999999989,0.6137500000000001,0.2716666666666667,0.18825833333333328,0.024466666666666678,0.0020116666666666677,0.005694166666666667,0.0364525,0.0004416666666666668,0.9151874999999999,76391231.0,1006328.0
